"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AXL",-2.12673682829604,6.90669382490698,-2.33481854660548,0.0211244439669844,0.895910945117688,-4.50970104941019
"PECAM1",-1.45848079482712,8.17149759591473,-2.01585353042883,0.0459290213019413,0.895910945117688,-4.53584428493464
"SIRPA",6.63641285802189,15.9718085977209,1.98127263383076,0.0497246886972498,0.895910945117688,-4.53847811111997
"TBP",0.302077949582015,5.6509775005814,1.92265772150867,0.0567659899082603,0.895910945117688,-4.54285040563331
"TNFRSF9",0.45985022076393,2.96504259934884,1.88568960867684,0.0616250306216362,0.895910945117688,-4.54554795186101
"VCAN",-10.6972736293523,13.9990335805814,-1.81729402928658,0.0715337919947918,0.895910945117688,-4.55041508013186
"TAP2",0.370818704416518,6.25814109277519,1.71824381250432,0.0881933513215577,0.895910945117688,-4.55717559631992
"IFITM1",-34.9234657335121,60.006608423093,-1.65665433598407,0.100062248712806,0.895910945117688,-4.56120523944614
"CDH5",-0.759415382990712,5.21037189043411,-1.62180594020732,0.107329252101033,0.895910945117688,-4.56342553359483
"ICAM1",5.23570353666871,20.405420311969,1.61956138700671,0.10781145136508,0.895910945117688,-4.56356705286759
"IFI27",-60.9227987443283,106.80612972393,-1.53473416194773,0.127340979825608,0.895910945117688,-4.56878260419027
"PSMB8",0.773967415052843,7.74925531009302,1.5094632386717,0.133668677735625,0.895910945117688,-4.57028606253555
"HDAC3",0.828870972685804,9.58188174053488,1.48680598099343,0.139548834309689,0.895910945117688,-4.57161426212275
"C1QA",-34.4421116020915,68.4659234257209,-1.42053349100517,0.157907135521785,0.895910945117688,-4.57539141495955
"HLA-C",4.87833253131453,14.5278442505891,1.36052646052722,0.176077341834513,0.895910945117688,-4.5786718867802
"TBX21",0.295255565145159,2.4916826853876,1.35573754606821,0.177592776905286,0.895910945117688,-4.5789279385995
"GNG4",-0.549525513320077,2.81490283464341,-1.34425482869051,0.181266445086601,0.895910945117688,-4.57953841895856
"CMKLR1",-0.419110457895071,4.86607121993023,-1.32766638591069,0.186673962292312,0.895910945117688,-4.58041167808056
"STAT2",1.09834162415345,11.0216831247597,1.30405953259218,0.194575991375491,0.895910945117688,-4.58163670369358
"TNFRSF4",-2.04340944609681,3.95409152786047,-1.29349827008569,0.198190559512801,0.895910945117688,-4.58217801133724
"CTAG1B",1.68940769862165,3.5643453444031,1.2812507387339,0.202444196994817,0.895910945117688,-4.58280051509487
"HLA-B",12.2343961482724,34.9385496308372,1.28084628697388,0.202585804789339,0.895910945117688,-4.58282097618503
"CXCL5",-3.55346141169233,4.47792046146512,-1.27566196673239,0.204407424936926,0.895910945117688,-4.58308270579378
"LIF",-5.06295094235099,7.16254517356589,-1.27222735762395,0.205620869019078,0.895910945117688,-4.58325554595325
"ITGAX",0.496916360870894,6.31472353479845,1.27196500890413,0.205713773847606,0.895910945117688,-4.58326872994433
"TNFAIP3",1.22540743385059,5.9468328358062,1.25487673419051,0.211831846745083,0.895910945117688,-4.58412190795642
"ICAM2",-1.34823806043112,6.27270024265116,-1.23221432889534,0.220149408158332,0.895910945117688,-4.58523643656981
"IL6R",0.868708525244253,7.01756273455814,1.21426836626093,0.226902247218509,0.895910945117688,-4.58610526714421
"CXCL10",-6.4243534739879,15.2629983658992,-1.20736168514982,0.229540581084917,0.895910945117688,-4.58643640176962
"CCL5",-8.88896336268477,19.1793424527752,-1.19315920205677,0.235035133022125,0.895910945117688,-4.58711165374027
"G6PD",3.87572042956482,13.7312579020388,1.17604510599979,0.241780486851463,0.895910945117688,-4.58791518059656
"IFNGR1",2.72945810552579,13.6991777039922,1.16955672318893,0.244373519917981,0.895910945117688,-4.58821691155286
"STAT3",2.38408219004224,15.3238925535814,1.16823008851668,0.244906123196482,0.895910945117688,-4.58827840745991
"CTSW",-2.44645422382807,4.5434127125969,-1.16480704580732,0.246284175840238,0.895910945117688,-4.58843677302807
"CSF2",0.217170885354544,2.82658164117829,1.16090700939702,0.247860948539001,0.895910945117688,-4.58861666361275
"TLR9",0.26370022182381,2.1588231145969,1.15451980014193,0.250458694220056,0.895910945117688,-4.58891002633219
"CD5",0.344004356287606,3.45598244462016,1.15314012865844,0.251022338479996,0.895910945117688,-4.58897319037664
"CCL4",-2.19174150403939,8.57839127899225,-1.14107904659344,0.255987871121455,0.895910945117688,-4.589522283669
"NOD2",0.377328547687018,3.17270079493023,1.14034995577262,0.256290234868976,0.895910945117688,-4.58955529864805
"GNLY",1.2989440593061,5.23562488560465,1.13206866595683,0.259742219013518,0.895910945117688,-4.58992887281241
"CXCL1",1.68766538678586,6.01955097183721,1.12437333593758,0.262979029775948,0.895910945117688,-4.5902736687969
"IL1B",-0.859206359976513,4.68082509643411,-1.12119155528027,0.264325549939233,0.895910945117688,-4.59041557065846
"EIF2B4",-0.90051874299748,9.38093231989147,-1.11715717116516,0.266039795040049,0.895910945117688,-4.59059494115659
"NLRC5",0.443927279282132,6.09438782123256,1.11258732558275,0.267990898084315,0.895910945117688,-4.59079736727462
"GZMA",-1.78378420293255,6.37193255597674,-1.08392168079506,0.280456569129133,0.895910945117688,-4.5920489164135
"TNF",0.200926096671266,3.36723419891473,1.08072083788681,0.281872846733111,0.895910945117688,-4.59218671228312
"FOXP3",0.25050527252842,2.29943315983721,1.04747741192021,0.296872312771556,0.895910945117688,-4.5935945804366
"TCL1A",2.68095470115074,3.70146031313178,1.04389889222386,0.298518570193275,0.895910945117688,-4.59374359889292
"IL15",0.234166627806933,3.44908827168217,1.03347478352429,0.303349160439077,0.895910945117688,-4.5941748746248
"TNFRSF17",-0.681708271244809,2.72751442906977,-1.01290865223768,0.313033018229136,0.895910945117688,-4.59501347163303
"CD96",0.235975517472971,2.72283307254264,1.00500458816033,0.316808964551092,0.895910945117688,-4.5953314224137
"IL22RA1",0.530417071754016,1.51197460960465,0.999387030530149,0.319510901225776,0.895910945117688,-4.59555592828048
"CD244",0.206084323693991,2.19920910060465,0.997807986221111,0.320273129874643,0.895910945117688,-4.59561881520857
"CXCL9",-7.47194281814247,16.7450488584651,-0.997630508769295,0.320358876071684,0.895910945117688,-4.59562587738894
"IL1A",0.226827637115765,2.16059753637985,0.996635100161799,0.320840077733704,0.895910945117688,-4.59566546410346
"CD274",0.380016068793809,3.39238160406202,0.993901999992045,0.322163772597798,0.895910945117688,-4.59577396057857
"CXCL12",-3.9189915466755,16.8069603345891,-0.991713907080356,0.323226105040488,0.895910945117688,-4.59586061353863
"MAGEC1",0.970102134938984,2.92774929188372,0.984923857116717,0.326537409501982,0.895910945117688,-4.59612833405101
"IL18R1",0.176412621907347,2.57068702431783,0.982079997729407,0.327930878210701,0.895910945117688,-4.59623993252918
"CD69",1.27816236589093,4.83591923493798,0.975554146444428,0.331143230102255,0.895910945117688,-4.59649483547353
