"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IDO1",0.927244456425983,5.24393871108654,3.25482635859452,0.00152401248471555,0.14445713149536,-1.54934015218
"PSMB8",0.613349927471929,7.38151658655769,3.17826648827054,0.00194282146377649,0.14445713149536,-1.71245064531608
"IL2RB",0.728299397129184,3.86988632275,3.14343693989004,0.00216685697243039,0.14445713149536,-1.78565704981918
"PSMB9",0.681850147569856,7.70880188032692,2.93784873479613,0.00405687317339712,0.159678311492694,-2.20474199011231
"HLA-B",0.667407485516373,12.2691714170962,2.90274455113345,0.0045020851577358,0.159678311492694,-2.27402659713213
"TAP1",0.651888190882485,8.03991094972115,2.84237395479448,0.00537399842419298,0.159678311492694,-2.39159340603733
"PSMB10",0.485565235359313,6.10341789866346,2.80492591684671,0.0059899277273571,0.159678311492694,-2.46350309430528
"B2M",0.537065608455727,12.9692289568269,2.78260207435037,0.00638713245970778,0.159678311492694,-2.50599682630142
"CXCL9",1.03548347703578,6.75582082444231,2.71899345120536,0.00765426523443076,0.164063075757617,-2.62553292611979
"HLA-F",0.632612789219577,9.44139113513462,2.69437589439014,0.00820315378788087,0.164063075757617,-2.67117731036681
"CD274",0.625111627424475,3.4846213935,2.57788490825734,0.0113163223268806,0.205751315034193,-2.88242689266176
"LAG3",0.721125027116754,3.73052606577885,2.49960725818825,0.0139688940083434,0.217829263223294,-3.01991925622881
"PRF1",0.702218924281351,3.87727993097115,2.48584645519726,0.0144889215676931,0.217829263223294,-3.04371436906075
"TAP2",0.418721694163457,7.01248410065385,2.46653138951211,0.0152480484256306,0.217829263223294,-3.07692326936708
"HLA-C",0.594096230720144,9.61019474351923,2.35907289855153,0.0201555297873185,0.245654492686945,-3.25758052680023
"CXCL13",0.714337962989454,4.90168595364423,2.35644787804043,0.0202911854524231,0.245654492686945,-3.26190605162469
"NLRC5",0.510986260812423,6.03663864364423,2.345218999639,0.0208806318783903,0.245654492686945,-3.28036156932538
"CCL5",0.652228391496791,5.88740179238462,2.31161140226561,0.0227362280163049,0.250684619374165,-3.33513690252185
"NKG7",0.719303743011668,5.15469511546154,2.28000508103581,0.0246123873881288,0.250684619374165,-3.38601670799136
"IRF1",0.517529278597355,7.32021340434615,2.27264300481022,0.0250684619374165,0.250684619374165,-3.39777959861751
"TNFRSF4",0.360866111304703,2.34413888551923,2.23543644001917,0.027488674596407,0.25316205871279,-3.4567129718388
"TBX21",0.454266618838792,2.84286522995192,2.20094996745988,0.0299120535385905,0.25316205871279,-3.51056803588482
"STAT1",0.448974236892269,7.75325631245192,2.19998653160594,0.0299823489008674,0.25316205871279,-3.51206188908693
"TNFRSF9",0.490040006393969,3.36384449092308,2.1945807764735,0.0303794470455348,0.25316205871279,-3.520432984186
"PDCD1LG2",0.475693059417697,3.48969522090385,2.11414455844397,0.0368521183469513,0.294816946775611,-3.64281970915785
"CD8A",0.57704149217212,5.19957542622115,2.08371966732933,0.0395941447959592,0.304570344584302,-3.68804440558269
"ITGAX",0.368220716407897,6.45156784604808,2.01445897452313,0.0464979662133316,0.344429379358012,-3.7887899950451
"IFI27",0.645379165607901,9.26985994602885,1.99447978745317,0.0486711711404927,0.346509295985897,-3.81727834402864
"GZMB",0.501268400954799,3.17642357289423,1.97756992459386,0.050577533298702,0.346509295985897,-3.84118859834933
"CD74",0.480573369981528,11.5549237489135,1.96306307141496,0.052263198769326,0.346509295985897,-3.86155342318902
"IFNG",0.453210471881729,2.82490526271154,1.94420391902093,0.0545256181503108,0.346509295985897,-3.88782374011927
"KLRD1",0.442341525243688,3.81871528405769,1.93675731119992,0.0554414873577435,0.346509295985897,-3.8981329536088
"CXCR6",0.480830084931448,2.83322819583654,1.8912311990223,0.0613278760577187,0.371684097319507,-3.96037297752244
"PDCD1",0.432427938055365,1.65538721110577,1.87105460903024,0.0640998367086413,0.377057862992008,-3.98752282687538
"HLA-E",0.33590221145422,9.64011154477885,1.85545111403094,0.0663147995199748,0.378645298556376,-4.00833555680859
"GNLY",0.545620986495284,4.69837786772115,1.8420152533654,0.0682729625693611,0.378645298556376,-4.02612845460547
"C1QA",0.401267070114484,8.11823434536539,1.8301016206038,0.0700493802329295,0.378645298556376,-4.04180582001271
"HLA-DRB1",0.501956302106581,9.26345370299038,1.77580458553818,0.0786394008986187,0.402934947132882,-4.11206564254107
"RORC",0.467711492745383,2.67742021174038,1.76971620856908,0.0796546551841877,0.402934947132882,-4.11982179812321
"CTSW",0.505088998502823,2.54764186418269,1.74619323609746,0.0836791868791556,0.402934947132882,-4.14955613170046
"CD244",0.365056190632012,2.50167502430769,1.74117295348244,0.0845593793082843,0.402934947132882,-4.15585419732778
"CCR5",0.399312166923536,3.52367806725,1.73634635102414,0.0854127634048051,0.402934947132882,-4.16189339430942
"CD96",0.392306609171373,2.97987928709615,1.72290575521821,0.0878264405758914,0.402934947132882,-4.17862851271749
"HAVCR2",0.321092301872312,4.87890171974038,1.71024803299307,0.0901502673924115,0.402934947132882,-4.19427815012846
"GZMA",0.465892718131443,4.488438127125,1.70051748871494,0.0919706119227053,0.402934947132882,-4.20623559221676
"HMGA1",0.320980117719012,8.91909414738462,1.69216874540402,0.0935562270634839,0.402934947132882,-4.21644427476975
"CXCL10",0.617319306637655,6.20729328077885,1.6862708976326,0.0946897125762272,0.402934947132882,-4.22362778471955
"EOMES",0.369089212603008,3.55476576429808,1.6611828284838,0.0996366026361613,0.405443117767906,-4.25392284371148
"SDHA",0.120986851141237,7.29846167634615,1.63471120792308,0.105080882952088,0.405443117767906,-4.2854276892637
"HDAC3",0.132534717482104,5.51478167816346,1.63108497013301,0.105844981380503,0.405443117767906,-4.28970646936567
"TIGIT",0.463229566402255,3.93593184794231,1.62685064612284,0.106742861789742,0.405443117767906,-4.29469148091003
"SLAMF7",0.468390615062518,3.43575587004808,1.62407266241305,0.107335246615187,0.405443117767906,-4.29795535844233
"TREM2",0.350911962670802,5.38904112500962,1.62357136127224,0.107442426208495,0.405443117767906,-4.29854378405083
"IL2RG",0.437103514477585,4.05075126505769,1.61160470849782,0.1100265439517,0.40750571833963,-4.31253957132853
"IFITM1",0.36683060003954,7.93048208249038,1.59593776602313,0.113484739020166,0.409961623655655,-4.33071601725091
"TNFRSF18",0.324519849933329,4.32687241975962,1.5894496865867,0.114942056922795,0.409961623655655,-4.3381944500143
"GZMM",0.349841494341242,1.73702916003846,1.570897588956,0.119191622974889,0.409961623655655,-4.35942010965269
"CD5",0.317728527261767,3.71639530630769,1.56948957781411,0.119519176563414,0.409961623655655,-4.36102144633356
