"gene","logFC_GSE78220","P_GSE78220","adjP_GSE78220","logFC_GSE215868","P_GSE215868","adjP_GSE215868","logFC_GSE211645","P_GSE211645","adjP_GSE211645","n_cohorts_up","n_cohorts_down","n_cohorts_tested","direction_concordant","in_discovery_top50","in_discovery_top100"
"AXL",-1.40949843736967,0.00209139497117698,0.418278994235396,0.153680838863648,0.459046365979804,0.751904692066594,1.11009523809522,0.0079339807309436,0.0240423658513442,2,1,3,"Discordante",TRUE,TRUE
"IL10",-0.604215567607681,0.0159529403092173,0.797647015460867,0.179752838467794,0.365828824586467,0.665143317429941,1.09613095238095,0.0375232698655166,0.0773675667330238,2,1,3,"Discordante",FALSE,TRUE
"VCAN",-1.78880696347024,0.00855514105091458,0.797647015460867,-0.363399024796617,0.122988487096697,0.409961623655655,-0.0170119047619224,0.971458630013048,0.981271343447523,0,3,3,"Down en todas",FALSE,FALSE
"SIRPA",0.873405393433202,0.013888585737456,0.797647015460867,-0.0563205438832464,0.734738167842722,0.896022155905758,0.596654761904745,0.0843770072204294,0.141406761242657,2,1,3,"Discordante",FALSE,FALSE
"IFITM1",-0.974516415122759,0.0357137923594283,0.99603003143199,0.36683060003954,0.113484739020166,0.409961623655655,0.19897619047617,0.637835367001574,0.70092661730813,2,1,3,"Discordante",FALSE,FALSE
"TNFRSF4",-0.997105557134698,0.0470182461768648,0.99603003143199,0.360866111304703,0.027488674596407,0.25316205871279,0.0719285714285687,0.89171148323883,0.924053350506559,2,1,3,"Discordante",FALSE,FALSE
"PECAM1",-0.640083068741526,0.0718959726275267,0.99603003143199,-0.0787512360365419,0.672109201954217,0.867693959962354,0.154023809523785,0.652824371972753,0.709591708666035,1,2,3,"Discordante",FALSE,FALSE
"DPP4",-0.552787093500643,0.0772357754698077,0.99603003143199,0.0971375294203343,0.70113320326195,0.87097292330677,0.747249999999989,0.24988693944125,0.330976078730132,2,1,3,"Discordante",FALSE,FALSE
"NLRP3",-0.446403309909591,0.0884308529395864,0.99603003143199,0.0181985327830478,0.92846601933041,0.976570586152002,1.0897857142857,0.00329112316327762,0.0134331557684801,2,1,3,"Discordante",FALSE,FALSE
"TBP",0.280461657509253,0.107085108342836,0.99603003143199,-0.0173725632011337,0.830392967487255,0.933025806165456,-0.0172500000000184,0.932895772534655,0.952303332531511,1,2,3,"Discordante",FALSE,FALSE
"CCL2",-0.839986789290213,0.133156036742725,0.99603003143199,-0.237003821564981,0.357518693710076,0.660535224795357,0.576273809523794,0.18449544491667,0.259852739319254,1,2,3,"Discordante",FALSE,FALSE
"TNFRSF1B",-0.554032359929191,0.139224744589231,0.99603003143199,0.239779633378149,0.142973695624592,0.453884748014578,1.73508333333332,0.000646430825569818,0.00587664386881652,2,1,3,"Discordante",FALSE,FALSE
"MAGEB2",0.439513077906038,0.153241902708239,0.99603003143199,0.0571545246146843,0.827066533850593,0.933025806165456,-0.940964285714288,0.24270223207695,0.32577480815698,2,1,3,"Discordante",FALSE,FALSE
"THBS1",-0.820145101544015,0.153878018753795,0.99603003143199,-0.0669268174538686,0.771902078225435,0.91439244011225,0.142809523809513,0.78399466344162,0.825257540464863,1,2,3,"Discordante",FALSE,FALSE
"ICAM2",-0.615848806251573,0.158661878717813,0.99603003143199,-0.0014176089423783,0.994265560656366,0.996498149958308,0.710261904761896,0.0488493050234603,0.0921685000442648,1,2,3,"Discordante",FALSE,FALSE
"CDH5",-0.445978866428167,0.165963549667006,0.99603003143199,-0.0557729268497233,0.772661611894851,0.91439244011225,-0.386619047619059,0.276009060119205,0.351603898241025,0,3,3,"Down en todas",FALSE,FALSE
"TNFSF4",-0.437963841593619,0.166642692206177,0.99603003143199,0.159565730972874,0.358526621240846,0.660535224795357,0.566916666666653,0.0865093495065946,0.142990660341479,2,1,3,"Discordante",FALSE,FALSE
"HLA-C",0.877814278091179,0.179209805191245,0.99603003143199,0.594096230720144,0.0201555297873185,0.245654492686945,1.23507142857141,0.00727468091592034,0.022733377862251,3,0,3,"Up en todas",FALSE,FALSE
"CMKLR1",-0.488785521944827,0.189802087746191,0.99603003143199,0.092535187349525,0.644456493035754,0.867693959962354,1.55720238095236,0.000607671727994126,0.00587664386881652,2,1,3,"Discordante",FALSE,FALSE
"CTAG1B",0.933644603768042,0.214949763400832,0.99603003143199,0.0552187137694879,0.933292138604309,0.976570586152002,0.00888095238094655,0.990869318588327,0.990869318588327,3,0,3,"Up en todas",FALSE,FALSE
"CXCL5",-0.836093343344404,0.225867364913821,0.99603003143199,-0.268547615601888,0.53007280892135,0.80927146400206,0.602083333333327,0.473519893961441,0.553972250624818,1,2,3,"Discordante",FALSE,FALSE
