"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","direction"
"NME4",0.211975906950983,17.8738055555556,2.73937142430784,0.00645907910979613,0.658172808721282,-3.1941786717589,"Up_in_responders"
"CXCL10",0.472581002492384,24.0515,2.63023802565111,0.00889528598732256,0.658172808721282,-3.32585252238029,"Up_in_responders"
"IL10",0.447346995292162,23.3289444444444,2.36895367304382,0.0183605931259438,0.658172808721282,-3.62051521530249,"Up_in_responders"
"BLVRB",0.229083356410965,13.7436666666667,2.29700531502404,0.0221863421671684,0.658172808721282,-3.69650612384107,"Up_in_responders"
"ZBTB10",-0.294806147881475,23.2845277777778,-2.16938204890626,0.0307012600119653,0.658172808721282,-3.82577933639794,"Down_in_responders"
"NEDD4L",0.222982553309331,18.7609444444444,2.13061905240425,0.0337913917166019,0.658172808721282,-3.86363907255597,"Up_in_responders"
"PDE3B",-0.201156189421212,17.3795833333333,-2.10674542887555,0.035824525573065,0.658172808721282,-3.88662962390459,"Down_in_responders"
"ITGA4",-0.214656896791219,14.6291086350975,-2.07220669489617,0.0389527677778752,0.658172808721282,-3.9195889225532,"Down_in_responders"
"NAB2",-0.23391304347826,20.2601111111111,-2.00242857081296,0.0459810786599026,0.658172808721282,-3.98415695462333,"Down_in_responders"
"CD80",-0.266611741899749,24.3508055555556,-1.94702464483836,0.0523016813581046,0.658172808721282,-4.03400913830507,"Down_in_responders"
"ELANE",0.507270839102742,20.1634166666667,1.9303992509629,0.0543350381108553,0.658172808721282,-4.04870448711015,"Up_in_responders"
"CDH1",0.252837164220438,20.6768611111111,1.86412177673691,0.0631105903959393,0.658172808721282,-4.1060732519129,"Up_in_responders"
"APAF1",-0.189328440875103,17.1725277777778,-1.86258047509148,0.0633279060010299,0.658172808721282,-4.10738424182596,"Down_in_responders"
"RBM5",-0.157424536139574,16.4462222222222,-1.76829824517225,0.0778498377314807,0.658172808721282,-4.18557330660502,"Down_in_responders"
"PLEK2",0.239030739407367,18.7245555555556,1.75523850264802,0.080060944867527,0.658172808721282,-4.19609224766686,"Up_in_responders"
"BAD",-0.114108280254776,18.6395277777778,-1.69693865815058,0.0905643412901123,0.658172808721282,-4.24212264554369,"Down_in_responders"
"IL2",-0.08126973137635,25.4069722222222,-1.65737947134115,0.0983056044160574,0.658172808721282,-4.27249235808857,"Down_in_responders"
"LARGE",-0.328769039047353,23.2471944444444,-1.64644038199528,0.100537441849074,0.658172808721282,-4.28076683885555,"Down_in_responders"
"CNKSR2",-0.260541401273885,22.18225,-1.61346350605781,0.107511661524563,0.658172808721282,-4.30538687635076,"Down_in_responders"
"FYN",-0.164520908335641,15.3821944444444,-1.59050758302207,0.112589792140536,0.658172808721282,-4.32223777701951,"Down_in_responders"
