"Gen","Grupo biologico","Concordancia","logFC GSE78220","P GSE78220","logFC GSE215868","P GSE215868","logFC GSE211645","P GSE211645"
"ICAM1","Activacion inmune","Up en todas",0.356,0.354,0.271,0.165,0.725,0.0424
"SLAMF7","Activacion inmune","Up en todas",0.538,0.407,0.468,0.107,1.392,0.00543
"VCAN","Inmunosupresion","Down en todas",-1.789,0.00856,-0.363,0.123,-0.017,0.971
"HLA-A","MHC clase I","Up en todas",1.062,0.259,0.187,0.607,1.564,9.81e-05
"HLA-B","MHC clase I","Up en todas",0.636,0.32,0.667,0.0045,1.216,0.00692
"HLA-C","MHC clase I","Up en todas",0.878,0.179,0.594,0.0202,1.235,0.00727
"HLA-E","MHC clase I","Up en todas",0.45,0.259,0.336,0.0663,1.428,0.000229
"HLA-F","MHC clase I","Up en todas",0.473,0.357,0.633,0.0082,1.62,7.38e-05
"AXL","Resistencia (discordante)","Discordante",-1.409,0.00209,0.154,0.459,1.11,0.00793
"IFNGR1","Via IFN-gamma","Up en todas",0.322,0.389,0.03,0.817,0.503,0.0526
"PSMB8","Via IFN-gamma","Up en todas",0.42,0.238,0.613,0.00194,0.527,0.0551
"STAT2","Via IFN-gamma","Up en todas",0.219,0.389,0.159,0.215,0.294,0.17
