# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2654614	2654614	2654614			
N_multimapping			5274636	5274636	5274636			
N_noFeature			3254886	34866911	34867230			
N_ambiguous			6983575	1631049	1620599			
ENSG00000000003.15	TSPAN6	protein_coding	1365	705	660	17.3637	5.1615	5.2024
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	2093	1092	1001	100.0566	29.7428	29.9784
ENSG00000000457.14	SCYL3	protein_coding	1144	1004	934	9.5903	2.8508	2.8734
ENSG00000000460.17	C1orf112	protein_coding	810	808	835	7.8288	2.3272	2.3456
ENSG00000000938.13	FGR	protein_coding	649	335	314	11.0727	3.2915	3.3175
ENSG00000000971.16	CFH	protein_coding	1515	759	756	10.9545	3.2563	3.2821
ENSG00000001036.14	FUCA2	protein_coding	2150	1706	1764	43.9608	13.0678	13.1713
ENSG00000001084.13	GCLC	protein_coding	1504	881	869	10.0699	2.9934	3.0171
ENSG00000001167.14	NFYA	protein_coding	2415	1406	1381	36.5647	10.8692	10.9553
ENSG00000001460.18	STPG1	protein_coding	1512	810	819	10.2507	3.0471	3.0713
ENSG00000001461.17	NIPAL3	protein_coding	7469	3755	3832	45.8673	13.6345	13.7425
ENSG00000001497.18	LAS1L	protein_coding	2917	1451	1474	13.4061	3.9851	4.0167
ENSG00000001561.7	ENPP4	protein_coding	242	122	120	3.0068	0.8938	0.9009
ENSG00000001617.12	SEMA3F	protein_coding	715	356	359	8.5487	2.5412	2.5613
ENSG00000001626.16	CFTR	protein_coding	6	2	5	0.0348	0.0104	0.0104
ENSG00000001629.10	ANKIB1	protein_coding	3719	1861	1872	29.0418	8.6330	8.7014
ENSG00000001630.17	CYP51A1	protein_coding	159	82	78	2.5997	0.7728	0.7789
ENSG00000001631.16	KRIT1	protein_coding	359	184	183	3.3389	0.9925	1.0004
ENSG00000002016.18	RAD52	protein_coding	594	290	304	7.6115	2.2626	2.2805
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	11	2	9	0.1006	0.0299	0.0302
ENSG00000002330.14	BAD	protein_coding	343	757	722	11.5875	3.4445	3.4718
ENSG00000002549.12	LAP3	protein_coding	9686	4937	4750	147.6598	43.8933	44.2410
ENSG00000002586.20	CD99	protein_coding	15148	6738	8410	179.9209	53.4832	53.9068
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	714	349	365	5.5412	1.6472	1.6602
ENSG00000002726.21	AOC1	protein_coding	44	25	19	0.6706	0.1993	0.2009
ENSG00000002745.13	WNT16	protein_coding	3	3	1	0.0530	0.0158	0.0159
ENSG00000002746.15	HECW1	protein_coding	5	1	7	0.0207	0.0062	0.0062
ENSG00000002822.15	MAD1L1	protein_coding	535	272	263	4.2697	1.2692	1.2793
ENSG00000002834.18	LASP1	protein_coding	18767	11652	11723	153.3601	45.5878	45.9489
ENSG00000002919.15	SNX11	protein_coding	1974	941	1033	27.5591	8.1922	8.2571
ENSG00000002933.9	TMEM176A	protein_coding	1392	688	708	23.1003	6.8668	6.9212
ENSG00000003056.8	M6PR	protein_coding	9863	5980	6158	158.7463	47.1889	47.5626
ENSG00000003096.14	KLHL13	protein_coding	256	126	130	2.1153	0.6288	0.6338
ENSG00000003137.8	CYP26B1	protein_coding	345	182	163	3.9695	1.1800	1.1893
ENSG00000003147.19	ICA1	protein_coding	222	129	125	2.6233	0.7798	0.7860
ENSG00000003249.15	DBNDD1	protein_coding	3762	1913	1882	48.6489	14.4614	14.5759
ENSG00000003393.15	ALS2	protein_coding	2635	1339	1296	14.5662	4.3300	4.3642
ENSG00000003400.15	CASP10	protein_coding	877	435	443	6.6751	1.9842	2.0000
ENSG00000003402.20	CFLAR	protein_coding	3661	2113	2076	9.3974	2.7935	2.8156
ENSG00000003436.16	TFPI	protein_coding	489	259	266	2.4087	0.7160	0.7217
ENSG00000003509.16	NDUFAF7	protein_coding	566	826	923	8.9452	2.6590	2.6801
ENSG00000003756.17	RBM5	protein_coding	5329	3832	3963	29.6890	8.8253	8.8952
ENSG00000003987.14	MTMR7	protein_coding	82	201	173	0.6830	0.2030	0.2046
ENSG00000003989.18	SLC7A2	protein_coding	128	69	59	0.9343	0.2777	0.2799
ENSG00000004059.11	ARF5	protein_coding	5985	3024	3023	189.2278	56.2498	56.6954
ENSG00000004139.14	SARM1	protein_coding	636	2425	2457	3.3046	0.9823	0.9901
ENSG00000004142.12	POLDIP2	protein_coding	7463	4090	4095	161.2820	47.9427	48.3224
ENSG00000004399.13	PLXND1	protein_coding	21352	10465	10891	128.9142	38.3210	38.6245
ENSG00000004455.17	AK2	protein_coding	10493	5342	5320	62.9046	18.6990	18.8471
ENSG00000004468.13	CD38	protein_coding	1721	890	831	14.4821	4.3049	4.3390
ENSG00000004478.8	FKBP4	protein_coding	8315	5535	5615	92.9274	27.6236	27.8424
ENSG00000004487.17	KDM1A	protein_coding	7775	3914	3861	82.4680	24.5144	24.7086
ENSG00000004534.15	RBM6	protein_coding	3548	1787	1762	28.0481	8.3376	8.4036
ENSG00000004660.15	CAMKK1	protein_coding	380	199	181	2.9499	0.8769	0.8838
ENSG00000004700.16	RECQL	protein_coding	1890	1733	1637	28.8582	8.5784	8.6463
ENSG00000004766.17	VPS50	protein_coding	1416	681	736	8.5474	2.5408	2.5609
ENSG00000004776.13	HSPB6	protein_coding	235	931	953	7.8653	2.3380	2.3566
ENSG00000004777.18	ARHGAP33	protein_coding	476	253	266	5.2216	1.5522	1.5645
ENSG00000004779.10	NDUFAB1	protein_coding	2165	1075	1090	80.6995	23.9887	24.1787
ENSG00000004799.8	PDK4	protein_coding	619	318	301	7.8602	2.3365	2.3550
ENSG00000004809.14	SLC22A16	protein_coding	5	1	4	0.0738	0.0220	0.0221
ENSG00000004838.14	ZMYND10	protein_coding	42	31	23	0.8389	0.2494	0.2513
ENSG00000004846.16	ABCB5	protein_coding	501	247	254	3.1229	0.9283	0.9357
ENSG00000004848.8	ARX	protein_coding	9	7	2	0.1668	0.0496	0.0500
ENSG00000004864.14	SLC25A13	protein_coding	5351	2672	2679	83.2233	24.7389	24.9349
ENSG00000004866.22	ST7	protein_coding	2304	1262	1255	20.3713	6.0556	6.1035
