# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2980327	2980327	2980327			
N_multimapping			5093342	5093342	5093342			
N_noFeature			1545699	28672789	28810795			
N_ambiguous			6214121	1500940	1492809			
ENSG00000000003.15	TSPAN6	protein_coding	1815	946	869	22.8866	8.1453	8.6267
ENSG00000000005.6	TNMD	protein_coding	1	0	1	0.0388	0.0138	0.0146
ENSG00000000419.13	DPM1	protein_coding	1552	764	788	73.5465	26.1752	27.7220
ENSG00000000457.14	SCYL3	protein_coding	551	422	412	4.5788	1.6296	1.7259
ENSG00000000460.17	C1orf112	protein_coding	135	230	241	1.2934	0.4603	0.4875
ENSG00000000938.13	FGR	protein_coding	567	275	292	9.5893	3.4128	3.6145
ENSG00000000971.16	CFH	protein_coding	3086	1568	1518	22.1193	7.8722	8.3374
ENSG00000001036.14	FUCA2	protein_coding	2264	1775	1747	45.8878	16.3315	17.2965
ENSG00000001084.13	GCLC	protein_coding	3170	1871	1846	21.0393	7.4879	7.9303
ENSG00000001167.14	NFYA	protein_coding	3157	1772	1761	47.3820	16.8632	17.8597
ENSG00000001460.18	STPG1	protein_coding	678	404	403	4.5565	1.6216	1.7175
ENSG00000001461.17	NIPAL3	protein_coding	5837	3006	2960	35.5324	12.6460	13.3933
ENSG00000001497.18	LAS1L	protein_coding	2374	1178	1196	10.8154	3.8492	4.0766
ENSG00000001561.7	ENPP4	protein_coding	231	124	107	2.8451	1.0126	1.0724
ENSG00000001617.12	SEMA3F	protein_coding	997	508	491	11.8164	4.2055	4.4540
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	3993	2046	1981	30.9095	11.0007	11.6507
ENSG00000001630.17	CYP51A1	protein_coding	900	482	432	14.5871	5.1915	5.4983
ENSG00000001631.16	KRIT1	protein_coding	334	176	184	3.0793	1.0959	1.1607
ENSG00000002016.18	RAD52	protein_coding	373	187	187	4.7379	1.6862	1.7859
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	1	0	2	0.0091	0.0032	0.0034
ENSG00000002330.14	BAD	protein_coding	793	1725	1622	26.5560	9.4513	10.0098
ENSG00000002549.12	LAP3	protein_coding	5705	2834	2871	86.2120	30.6828	32.4959
ENSG00000002586.20	CD99	protein_coding	15791	7419	8373	185.9216	66.1695	70.0796
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	155	76	79	1.1924	0.4244	0.4495
ENSG00000002726.21	AOC1	protein_coding	9	7	2	0.1360	0.0484	0.0513
ENSG00000002745.13	WNT16	protein_coding	15	12	3	0.2629	0.0936	0.0991
ENSG00000002746.15	HECW1	protein_coding	4	3	1	0.0164	0.0058	0.0062
ENSG00000002822.15	MAD1L1	protein_coding	44	21	24	0.3481	0.1239	0.1312
ENSG00000002834.18	LASP1	protein_coding	8815	5348	5343	71.4059	25.4133	26.9151
ENSG00000002919.15	SNX11	protein_coding	1365	721	644	18.8906	6.7231	7.1204
ENSG00000002933.9	TMEM176A	protein_coding	694	359	337	11.4165	4.0631	4.3032
ENSG00000003056.8	M6PR	protein_coding	3596	2187	2183	57.3731	20.4191	21.6257
ENSG00000003096.14	KLHL13	protein_coding	429	202	227	3.5139	1.2506	1.3245
ENSG00000003137.8	CYP26B1	protein_coding	2159	1060	1099	24.6241	8.7637	9.2816
ENSG00000003147.19	ICA1	protein_coding	153	82	95	1.7922	0.6378	0.6755
ENSG00000003249.15	DBNDD1	protein_coding	7429	3661	3853	95.2311	33.8927	35.8955
ENSG00000003393.15	ALS2	protein_coding	1448	731	717	7.9347	2.8239	2.9908
ENSG00000003400.15	CASP10	protein_coding	509	250	259	3.8403	1.3668	1.4475
ENSG00000003402.20	CFLAR	protein_coding	3970	2290	2157	10.1016	3.5952	3.8076
ENSG00000003436.16	TFPI	protein_coding	818	446	426	3.9942	1.4215	1.5055
ENSG00000003509.16	NDUFAF7	protein_coding	758	638	634	11.8750	4.2263	4.4761
ENSG00000003756.17	RBM5	protein_coding	2132	1652	1587	11.7742	4.1904	4.4381
ENSG00000003987.14	MTMR7	protein_coding	41	103	103	0.3385	0.1205	0.1276
ENSG00000003989.18	SLC7A2	protein_coding	873	431	443	6.3167	2.2481	2.3810
ENSG00000004059.11	ARF5	protein_coding	3475	1749	1768	108.9105	38.7612	41.0517
ENSG00000004139.14	SARM1	protein_coding	71	900	827	0.3657	0.1302	0.1378
ENSG00000004142.12	POLDIP2	protein_coding	5867	3182	3173	125.6848	44.7312	47.3745
ENSG00000004399.13	PLXND1	protein_coding	7739	3866	3873	46.3171	16.4842	17.4583
ENSG00000004455.17	AK2	protein_coding	7078	3662	3489	42.0618	14.9698	15.8544
ENSG00000004468.13	CD38	protein_coding	611	295	316	5.0967	1.8139	1.9211
ENSG00000004478.8	FKBP4	protein_coding	6296	4062	4251	69.7494	24.8238	26.2907
ENSG00000004487.17	KDM1A	protein_coding	4412	2189	2223	46.3889	16.5098	17.4854
ENSG00000004534.15	RBM6	protein_coding	2618	1317	1302	20.5156	7.3015	7.7330
ENSG00000004660.15	CAMKK1	protein_coding	554	275	279	4.2631	1.5172	1.6069
ENSG00000004700.16	RECQL	protein_coding	990	898	988	14.9843	5.3329	5.6480
ENSG00000004766.17	VPS50	protein_coding	1735	885	850	10.3816	3.6948	3.9131
ENSG00000004776.13	HSPB6	protein_coding	57	141	135	1.8911	0.6730	0.7128
ENSG00000004777.18	ARHGAP33	protein_coding	174	82	106	1.8921	0.6734	0.7132
ENSG00000004779.10	NDUFAB1	protein_coding	3361	1649	1713	124.1868	44.1980	46.8098
ENSG00000004799.8	PDK4	protein_coding	2015	979	1036	25.3638	9.0270	9.5604
