model,term,HR,CI_low,CI_high,p_value
Univariante,age_years,1.0213536297586032,1.011419934063232,1.0313848895881634,2.264288649852099e-5
Univariante,gendermale,1.005989128230264,0.7474158644727902,1.3540174543008103,0.9685780957090986
Univariante,stage_groupStage II,1.517750009257726,1.0232218478812316,2.2512860679937416,0.03807170677140482
Univariante,stage_groupStage III,1.951852539955424,1.3441117867193333,2.834383550068486,4.418555687001737e-4
Univariante,stage_groupStage IV,3.0942173024993975,1.5404871913280822,6.215034288491922,0.0015021619339555337
Multivariante,age_years,1.0204634052840138,1.0104583994880647,1.0305674751691207,5.587126018508031e-5
Multivariante,gendermale,1.0070792223667258,0.7471934201565199,1.3573574562665656,0.9630544195293007
Multivariante,stage_groupStage II,1.2649223190562826,0.8428303274970268,1.8983992638214224,0.25657954296109614
Multivariante,stage_groupStage III,1.819409113298485,1.2484052193388846,2.6515825713277468,0.0018425515536420079
Multivariante,stage_groupStage IV,2.9934772582881957,1.4864500507805867,6.02839368277658,0.0021422617501907167
